timestamp,event,description_sinhala,description_english
2025-09-19 00:07:27,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:07:30,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:07:32,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:07:33,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:07:46,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:07:57,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 10s),Animals left the farm (Duration: 10s)
2025-09-19 00:08:01,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:08:02,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:08:16,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:09:10,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 54s),Animals left the farm (Duration: 54s)
2025-09-19 00:10:59,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:11:00,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:11:36,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:11:59,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 23s),Animals left the farm (Duration: 23s)
2025-09-19 00:12:39,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:12:40,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:13:04,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:13:56,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 51s),Animals left the farm (Duration: 51s)
2025-09-19 00:13:59,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:02,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:14:05,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:11,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 6s),Animals left the farm (Duration: 6s)
2025-09-19 00:14:13,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:16,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:14:18,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:19,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:14:28,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:40,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 12s),Animals left the farm (Duration: 12s)
2025-09-19 00:14:42,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:12,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 30s),Animals left the farm (Duration: 30s)
2025-09-19 00:15:14,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:15,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:15:18,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:19,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:15:22,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:25,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:15:30,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:32,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:15:33,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:34,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:15:40,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:41,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:15:53,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:06,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 13s),Animals left the farm (Duration: 13s)
2025-09-19 00:16:09,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:10,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:16:11,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:12,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:16:20,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:21,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:16:33,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:35,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:16:36,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:39,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:16:44,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:51,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 6s),Animals left the farm (Duration: 6s)
2025-09-19 00:16:56,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:57,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:16:57,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:17:06,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:17:07,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:17:23,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:17:24,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:17:35,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:17:37,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:17:55,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:18:17,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 21s),Animals left the farm (Duration: 21s)
2025-09-19 00:18:37,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:18:38,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:18:43,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:18:55,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 12s),Animals left the farm (Duration: 12s)
2025-09-19 00:19:05,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:19:06,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:19:14,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:19:17,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:19:22,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:19:26,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:19:29,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:19:30,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:19:36,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:19:38,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:19:40,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:19:44,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:19:45,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:19:52,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 6s),Animals left the farm (Duration: 6s)
2025-09-19 00:19:53,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:19:55,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:20:02,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:20:03,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:20:18,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:20:21,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:21:00,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:02,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:21:07,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:08,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:21:14,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:15,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:21:20,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:22,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:21:27,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:30,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:21:33,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:37,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:21:40,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:42,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:21:45,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:49,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
2025-09-19 00:21:51,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:21:56,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
2025-09-19 00:21:59,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:00,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:22:02,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:04,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:22:06,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:11,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 5s),Animals left the farm (Duration: 5s)
2025-09-19 00:22:15,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:16,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:22:21,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:24,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:22:26,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:34,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 8s),Animals left the farm (Duration: 8s)
2025-09-19 00:22:38,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:44,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 5s),Animals left the farm (Duration: 5s)
2025-09-19 00:22:45,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:46,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:22:48,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:50,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:22:52,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:53,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:22:55,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:22:56,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:22:57,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:03,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 5s),Animals left the farm (Duration: 5s)
2025-09-19 00:23:04,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:10,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 5s),Animals left the farm (Duration: 5s)
2025-09-19 00:23:12,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:13,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:23:15,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:18,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:23:22,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:27,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 5s),Animals left the farm (Duration: 5s)
2025-09-19 00:23:30,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:34,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:23:35,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:38,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:23:42,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:45,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:23:48,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:23:49,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:23:54,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:00,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 5s),Animals left the farm (Duration: 5s)
2025-09-19 00:24:02,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:03,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:24:12,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:13,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:24:15,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:16,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:24:21,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:22,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:24:26,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:27,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:24:29,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:30,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:24:31,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:32,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:24:34,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:35,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:24:38,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:41,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:24:42,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:45,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:24:51,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:24:57,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 6s),Animals left the farm (Duration: 6s)
2025-09-19 00:24:58,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:02,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:25:07,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:08,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:25:09,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:10,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 0s),Animals left the farm (Duration: 0s)
2025-09-19 00:25:14,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:17,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:25:19,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:21,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:25:23,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:30,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 6s),Animals left the farm (Duration: 6s)
2025-09-19 00:25:31,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:33,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:25:35,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:39,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 4s),Animals left the farm (Duration: 4s)
2025-09-19 00:25:41,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:44,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:25:47,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:49,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:25:54,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:25:55,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:25:59,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
